L1,L2,L3,L3 Name,L4,L4 Name,Description,Product Gaps,Now/Next/Later,Links to Details,Notes/Remarks
FIN-Financials,AP - New Accounts Payable,,,,,,,N/A,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,,,,"Invoice approval workflows, Multi-entity invoice processing, Invoice import/export capabilities, Automated invoice routing, Invoice templates and customization",N/A,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.01,"Manual Invoice Entry, Creation & Validation","#CORE. Manual invoice data entry with field validation, duplicate checking, and GL account validation. Supports header/line entry with flexible distribution.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.02,Quick Invoices (Immediate Payment),"#EXPEDITED. Streamlined invoice entry for immediate payment processing, bypassing accrual. Used for urgent payments, petty cash, and one-time disbursements.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.03,"Matching (Three-Way, Two-Way), Rules & Tolerances","#CORE. Automated matching of invoices to POs and receipts. Configurable matching rules, tolerances (price, quantity), and exception routing.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.03.01,"Matching (two-way), rules & tolerances",,,Now,2-way matching rules and tolerances,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.03.02,"Matching (three-way), rules & tolerances",,,Next,3-way matching rules and tolerances,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.04,Invoice Approval Workflow,"#WORKFLOW. Configurable approval routing based on amount, GL account, department, vendor, or custom rules. Supports parallel, serial, and conditional approvals with budget checking.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.05,"Invoice Holds, Exceptions & Resolution","#EXCEPTION HANDLING. System and user-defined holds for invoices requiring review. Exception workflows for matching failures, budget overruns, and compliance issues.",,Now,part of the invoice approval workflow,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.06,"Credit Memos, Debit Memos, Negative Invoices & Adjustments","#ADJUSTMENTS. Process vendor credits, returns, price adjustments, and invoice corrections. Support for negative invoices and GL adjustments with proper accounting treatment.",,Now,credit memos will be part of vendor portal but we should be able to adjust it against an invoice payment and ability to issue debit notes,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.07,"Invoice Lifecycle Management (Void, Cancel, Delete)","#LIFECYCLE. Complete invoice lifecycle management including void, cancel, delete, close, and reopen capabilities with proper GL reversals and audit trail.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.08,Recurring Invoices & Auto-Generation,"#AUTOMATION. Automated creation of recurring invoices based on schedules (monthly, quarterly, etc.). Template-based generation with configurable date and amount logic.",,Next,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.09,Duplicate Invoice Detection & Prevention,"#FRAUD PREVENTION. Real-time duplicate detection using vendor, invoice number, amount, and date. Configurable matching rules with manual override capability.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.10,Prepayments & Advance Payments (special invoice type),#SPECIAL INVOICES. Process prepayments and advance payments with proper accounting treatment. Track prepayment balances and automatic application to final invoices.,,Next,research and see if this can be moved to Next or later or not to do,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.11,"Freight, Tax & Discount Processing","#CALCULATIONS. Automated calculation and distribution of freight, tax, and discounts across invoice lines. Supports multiple tax jurisdictions and discount terms.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.12,Withholding & Retainage Processing,#CONSTRUCTION/CONTRACTS. Calculate and track withholding and retainage amounts per contract or vendor rules. Support automatic release based on milestones or percentages.,,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.13,GL Distribution & Accounting (Transactional Allocation),"#ACCOUNTING. Flexible GL distribution with split allocation across multiple accounts, funds, departments, and projects. Support for templates and default distributions.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.14,Invoice Balance Tracking & Inquiry,"#INQUIRY. Real-time tracking of invoice balances including amounts invoiced, paid, credited, and outstanding. Drill-down to transaction detail and payment history.",,Now,needed to support partial payments,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.15,Invoice Processing Audit & History,"#AUDIT. Complete audit trail of all invoice transactions including creates, updates, approvals, and payments. Field-level change tracking with user/date/time stamps.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.16,Purchasing (PO) Integration,"#INTEGRATION. Bi-directional integration with Purchasing for PO data, invoice creation from PO, PO balance updates, and encumbrance synchronization.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.17,Receiving Integration,"#INTEGRATION. Integration with Receiving for GRN data, automatic invoice creation from receipt, and three-way match processing.",,Now,TBD - dependency on PRO,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.18,General Ledger (GL) Integration & Posting,"#INTEGRATION. Real-time or batch posting to GL with configurable account mapping, period control, and encumbrance accounting. Support for pre-encumbrance and accrual entries.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.19,Contracts Integration & Spend Tracking,"#INTEGRATION. Link invoices to contracts for spend tracking, compliance monitoring, and contract balance management. Support for contract terms and pricing validation.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.20,Project Accounting Integration & Cost Allocation,"#INTEGRATION. Allocate invoice costs to projects with task/phase breakdown. Support for project billing, cost tracking, and budget management.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.21,Fixed Assets Integration,#INTEGRATION. Automatic asset creation from qualifying invoices. Asset information capture and synchronization with Fixed Assets module for depreciation.,,Next,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.22,Bulk Invoice Imports,"#DATA IMPORT. Bulk import of invoices from Excel, CSV, or other systems. Template-based import with validation, error handling, and preview capability.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.23,Invoice APIs for Integrations,"#INTEGRATION. REST APIs and integration points for external systems including refund invoices from Payroll/HCM, UB/AR/CR, and third-party applications.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.24,Invoice Payment Schedules & Installments,"#PAYMENT SCHEDULING. Split invoice into multiple scheduled payments with separate due dates. Support for installment plans, milestone payments, and progress billing.",,Now,,
FIN-Financials,AP - New Accounts Payable,AP.01,Invoice Processing & Matching,AP.01.25,Invoice Reports & Inquiries,"#REPORTING. Comprehensive invoice reporting including aging, registers, exception reports, and drill-down inquiry capabilities with export options.",,Now,,
